,Symbols,Description
8958,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_NOT_SEAS_ADJ.SINGAPORE,"Imports Merchandise, Customs, current US$, millions, not seas. adj. for Singapore"
8959,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_NOT_SEAS_ADJ.EL_SALVADOR,"Imports Merchandise, Customs, current US$, millions, not seas. adj. for El Salvador"
8960,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_NOT_SEAS_ADJ.EMDE_SUB-SAHARAN_AFRICA,"Imports Merchandise, Customs, current US$, millions, not seas. adj. for EMDE Sub-Saharan Africa"
8961,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_NOT_SEAS_ADJ.SLOVAKIA,"Imports Merchandise, Customs, current US$, millions, not seas. adj. for Slovakia"
8962,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_NOT_SEAS_ADJ.SLOVENIA,"Imports Merchandise, Customs, current US$, millions, not seas. adj. for Slovenia"
8963,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_NOT_SEAS_ADJ.SWEDEN,"Imports Merchandise, Customs, current US$, millions, not seas. adj. for Sweden"
8964,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_NOT_SEAS_ADJ.SEYCHELLES,"Imports Merchandise, Customs, current US$, millions, not seas. adj. for Seychelles"
8965,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_NOT_SEAS_ADJ.THAILAND,"Imports Merchandise, Customs, current US$, millions, not seas. adj. for Thailand"
8966,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_NOT_SEAS_ADJ.TUNISIA,"Imports Merchandise, Customs, current US$, millions, not seas. adj. for Tunisia"
8967,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_NOT_SEAS_ADJ.TURKEY,"Imports Merchandise, Customs, current US$, millions, not seas. adj. for Turkey"
8968,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_NOT_SEAS_ADJ.TANZANIA_UNITED_REP,"Imports Merchandise, Customs, current US$, millions, not seas. adj. for Tanzania, United Rep."
8969,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_NOT_SEAS_ADJ.UGANDA,"Imports Merchandise, Customs, current US$, millions, not seas. adj. for Uganda"
8970,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_NOT_SEAS_ADJ.UKRAINE,"Imports Merchandise, Customs, current US$, millions, not seas. adj. for Ukraine"
8971,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_NOT_SEAS_ADJ.URUGUAY,"Imports Merchandise, Customs, current US$, millions, not seas. adj. for Uruguay"
8972,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_NOT_SEAS_ADJ.UNITED_STATES,"Imports Merchandise, Customs, current US$, millions, not seas. adj. for United States"
8973,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_NOT_SEAS_ADJ.VENEZUELA_RB,"Imports Merchandise, Customs, current US$, millions, not seas. adj. for Venezuela, RB"
8974,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_NOT_SEAS_ADJ.VIET_NAM,"Imports Merchandise, Customs, current US$, millions, not seas. adj. for Viet Nam"
8975,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_NOT_SEAS_ADJ.WORLD_(WBG_MEMBERS),"Imports Merchandise, Customs, current US$, millions, not seas. adj. for World (WBG members)"
8976,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_NOT_SEAS_ADJ.SAMOA,"Imports Merchandise, Customs, current US$, millions, not seas. adj. for Samoa"
8977,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_NOT_SEAS_ADJ.SOUTH_AFRICA,"Imports Merchandise, Customs, current US$, millions, not seas. adj. for South Africa"
8978,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_NOT_SEAS_ADJ.ZAMBIA,"Imports Merchandise, Customs, current US$, millions, not seas. adj. for Zambia"
8979,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.ALBANIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Albania"
8980,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.ADVANCED_ECONOMIES,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Advanced Economies"
8981,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.ARGENTINA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Argentina"
8982,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.ARMENIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Armenia"
8983,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.AUSTRALIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Australia"
8984,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.AUSTRIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Austria"
8985,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.BURUNDI,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Burundi"
8986,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.BELGIUM,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Belgium"
8987,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.BANGLADESH,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Bangladesh"
8988,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.BULGARIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Bulgaria"
8989,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.BAHRAIN,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Bahrain"
8990,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.BOSNIA_AND_HERZEGOVINA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Bosnia and Herzegovina"
8991,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.BELARUS,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Belarus"
8992,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.BELIZE,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Belize"
8993,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.BOLIVIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Bolivia"
8994,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.BRAZIL,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Brazil"
8995,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.BOTSWANA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Botswana"
8996,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.CANADA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Canada"
8997,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.CHILE,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Chile"
8998,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.CHINA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for China"
8999,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.COLOMBIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Colombia"
9000,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.COSTA_RICA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Costa Rica"
9001,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.CYPRUS,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Cyprus"
9002,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.CZECH_REPUBLIC,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Czech Republic"
9003,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.GERMANY,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Germany"
9004,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.DOMINICA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Dominica"
9005,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.DENMARK,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Denmark"
9006,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.DOMINICAN_REPUBLIC,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Dominican Republic"
9007,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.ALGERIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Algeria"
9008,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.EMDE_EAST_ASIA_&_PACIFIC,"Imports Merchandise, Customs, current US$, millions, seas. adj. for EMDE East Asia & Pacific"
9009,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.EMDE_EUROPE_&_CENTRAL_ASIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for EMDE Europe & Central Asia"
9010,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.EGYPT_ARAB_REP,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Egypt, Arab Rep."
9011,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.EMERGING_MARKET_AND_DEVELOPING_ECONOMIES_(EMDES),"Imports Merchandise, Customs, current US$, millions, seas. adj. for Emerging Market and Developing Economies (EMDEs)"
9012,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.SPAIN,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Spain"
9013,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.ESTONIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Estonia"
9014,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.FINLAND,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Finland"
9015,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.FRANCE,"Imports Merchandise, Customs, current US$, millions, seas. adj. for France"
9016,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.GABON,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Gabon"
9017,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.UNITED_KINGDOM,"Imports Merchandise, Customs, current US$, millions, seas. adj. for United Kingdom"
9018,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.GEORGIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Georgia"
9019,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.GREECE,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Greece"
9020,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.GUATEMALA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Guatemala"
9021,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.HIGH_INCOME_COUNTRIES,"Imports Merchandise, Customs, current US$, millions, seas. adj. for High Income Countries"
9022,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.HONG_KONG_SAR_CHINA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Hong Kong SAR, China"
9023,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.HONDURAS,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Honduras"
9024,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.CROATIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Croatia"
9025,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.HUNGARY,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Hungary"
9026,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.INDONESIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Indonesia"
9027,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.INDIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for India"
9028,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.IRELAND,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Ireland"
9029,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.IRAN_ISLAMIC_REP,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Iran, Islamic Rep."
9030,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.ICELAND,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Iceland"
9031,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.ISRAEL,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Israel"
9032,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.ITALY,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Italy"
9033,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.JAMAICA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Jamaica"
9034,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.JORDAN,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Jordan"
9035,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.JAPAN,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Japan"
9036,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.KAZAKHSTAN,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Kazakhstan"
9037,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.KENYA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Kenya"
9038,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.KYRGYZ_REPUBLIC,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Kyrgyz Republic"
9039,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.KOREA_REP,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Korea, Rep."
9040,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.KUWAIT,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Kuwait"
9041,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.EMDE_LATIN_AMERICA_&_CARIBBEAN,"Imports Merchandise, Customs, current US$, millions, seas. adj. for EMDE Latin America & Caribbean"
9042,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.LEBANON,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Lebanon"
9043,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.LOW-INCOME_COUNTRIES_(LIC),"Imports Merchandise, Customs, current US$, millions, seas. adj. for Low-Income Countries (LIC)"
9044,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.SRI_LANKA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Sri Lanka"
9045,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.LITHUANIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Lithuania"
9046,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.LUXEMBOURG,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Luxembourg"
9047,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.LATVIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Latvia"
9048,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.MOROCCO,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Morocco"
9049,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.MOLDOVA_REP,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Moldova, Rep."
9050,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.MALDIVES,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Maldives"
9051,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.MEXICO,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Mexico"
9052,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.MIDDLE-INCOME_COUNTRIES_(MIC),"Imports Merchandise, Customs, current US$, millions, seas. adj. for Middle-Income Countries (MIC)"
9053,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.NORTH_MACEDONIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for North Macedonia"
9054,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.MYANMAR,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Myanmar"
9055,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.MONGOLIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Mongolia"
9056,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.EMDE_MIDDLE_EAST_&_N_AFRICA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for EMDE Middle East & N. Africa"
9057,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.MAURITIUS,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Mauritius"
9058,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.MALAWI,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Malawi"
9059,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.MALAYSIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Malaysia"
9060,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.NIGERIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Nigeria"
9061,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.NICARAGUA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Nicaragua"
9062,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.NETHERLANDS,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Netherlands"
9063,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.NORWAY,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Norway"
9064,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.NEW_ZEALAND,"Imports Merchandise, Customs, current US$, millions, seas. adj. for New Zealand"
9065,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.OMAN,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Oman"
9066,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.PAKISTAN,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Pakistan"
9067,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.PANAMA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Panama"
9068,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.PERU,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Peru"
9069,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.PHILIPPINES,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Philippines"
9070,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.POLAND,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Poland"
9071,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.PORTUGAL,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Portugal"
9072,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.PARAGUAY,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Paraguay"
9073,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.QATAR,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Qatar"
9074,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.ROMANIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Romania"
9075,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.RUSSIAN_FEDERATION,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Russian Federation"
9076,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.EMDE_SOUTH_ASIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for EMDE South Asia"
9077,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.SAUDI_ARABIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Saudi Arabia"
9078,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.SINGAPORE,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Singapore"
9079,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.EL_SALVADOR,"Imports Merchandise, Customs, current US$, millions, seas. adj. for El Salvador"
9080,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.EMDE_SUB-SAHARAN_AFRICA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for EMDE Sub-Saharan Africa"
9081,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.SLOVAKIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Slovakia"
9082,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.SLOVENIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Slovenia"
9083,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.SWEDEN,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Sweden"
9084,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.SEYCHELLES,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Seychelles"
9085,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.THAILAND,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Thailand"
9086,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.TUNISIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Tunisia"
9087,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.TURKEY,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Turkey"
9088,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.TAIWAN_CHINA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Taiwan, China"
9089,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.TANZANIA_UNITED_REP,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Tanzania, United Rep."
9090,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.UGANDA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Uganda"
9091,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.UKRAINE,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Ukraine"
9092,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.URUGUAY,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Uruguay"
9093,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.UNITED_STATES,"Imports Merchandise, Customs, current US$, millions, seas. adj. for United States"
